"","user_id","screen_name","verified","description","location","text","followers_count","friends_count","statuses_count","created_at"
"1","1087891508458635265","charlie_puerto",FALSE,"","","@TheGoblinnn xanax, carts n adderall top 3",12,68,31,2020-05-12 19:22:59
"2","807870067","realisingtings",FALSE,"<U+0410><U+043D><U+0435><U+0441><U+043A><U+0430> Says Violence Works for Her","Under these bitches skin ","Wait maybe that's why I hate xanax bc it's the only thing that will make me shut up. Swear I will try to hold a conversation with a dick down my throat",57,176,2187,2020-05-12 19:17:53
"3","4876184458","shtplaiba",FALSE,"@shtpmerva !!!","","dk if i want hugs or just xanax?",1177,393,6462,2020-05-12 19:13:40
"4","841487046296391680","TheKingScxottyD",FALSE,"i’m hard to digest and i hate spoon feeding","in my head","@AlixAmandaM @s_quitulias @iBabyE @MODSUN So if I'm prescribed xanax to quit all other drugs, am I sober?",3603,3101,16340,2020-05-12 19:11:37
"5","15852574","sweetiebird",FALSE,"Thinking out loud. Las Vegas Ecdysiast/altmodel/feral brat. <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7>+<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>+<f0><U+009F><U+0096><U+0096>
18+

* brains are sexy *

she/her/they/it","Las Vegas, NV","Last night was a 3mg of xanax night. I've never needed that much before but I picked my lips until they wouldn't stop bleeding, tried yoga, punched pillows and journaled. My psychiatrist trusts that I know what I'm doing, and I'm finally starting to numb up a bit.

I feel so raw.",2439,1372,42120,2020-05-12 19:06:56
"6","728121573861822464","omophagos",FALSE,"<f0><U+009D><U+0099><U+00AE><f0><U+009D><U+0099><U+00A4><f0><U+009D><U+0099><U+00AA><f0><U+009D><U+0099><U+00A7> <f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00AE><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00A8> <f0><U+009D><U+0099><U+00A1><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A0><f0><U+009D><U+0099><U+009A> <f0><U+009D><U+0099><U+0098><f0><U+009D><U+0099><U+00A7><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+009D><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3><f0><U+009D><U+0099><U+009C> <f0><U+009D><U+0099><U+009F><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00A9><f0><U+009D><U+0099><U+00A8> <f0><U+009D><U+0099><U+009B><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00AD><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+0099> <f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3> <f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+00A9><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+0099> <f0><U+009D><U+0099><U+009C><f0><U+009D><U+0099><U+00A1><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+00A8>— <U+26D3> DJ, they/he, 26 <f0><U+009F><U+0094><U+009E>","clown town","i need a xanax lmao",764,193,95492,2020-05-08 06:32:36
"7","728121573861822464","omophagos",FALSE,"<f0><U+009D><U+0099><U+00AE><f0><U+009D><U+0099><U+00A4><f0><U+009D><U+0099><U+00AA><f0><U+009D><U+0099><U+00A7> <f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00AE><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00A8> <f0><U+009D><U+0099><U+00A1><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A0><f0><U+009D><U+0099><U+009A> <f0><U+009D><U+0099><U+0098><f0><U+009D><U+0099><U+00A7><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+009D><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3><f0><U+009D><U+0099><U+009C> <f0><U+009D><U+0099><U+009F><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+00A9><f0><U+009D><U+0099><U+00A8> <f0><U+009D><U+0099><U+009B><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00AD><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+0099> <f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3> <f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+00A9><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+009E><f0><U+009D><U+0099><U+00A3><f0><U+009D><U+0099><U+009A><f0><U+009D><U+0099><U+0099> <f0><U+009D><U+0099><U+009C><f0><U+009D><U+0099><U+00A1><f0><U+009D><U+0099><U+0096><f0><U+009D><U+0099><U+00A8><f0><U+009D><U+0099><U+00A8>— <U+26D3> DJ, they/he, 26 <f0><U+009F><U+0094><U+009E>","clown town","i only took half a xanax but it totally flattened me rip i feel like that one anti drug commercial where the girl has no bones",764,193,95492,2020-05-12 19:06:23
"8","1181997834343780353","beyjinn",FALSE,"short ug*y and f*t <f0><U+009F><U+00A4><U+00A1>","","tw substance abuse
i took some xanax and swallowed them with vodka. i also haven’t eaten in 2days <U+270A><f0><U+009F><U+008F><U+00BD><f0><U+009F><U+0098><U+0094>",40,99,94,2020-05-12 19:02:23
"9","1225139424729628672","COOKYPRNT",FALSE,"YOU USIN WAY TOO MANY NAPKINS","<U+27ED><U+27EC>","methamphetamine crack cocaine heroin oxycodone morphine xanax molly acid https://t.co/me5AQSOM0y",2221,194,6093,2020-05-12 18:57:39
"10","718206145","y_u_flexn",FALSE,"sup","Harvard","I’m moving to LA to start a vlog for children and a xanax addiction, which porn star should I pay to go to McDonalds with me and the boys in the first ep.??!",189,299,2915,2020-05-12 18:54:29
"11","4084921402","Shamsiii20",FALSE,"","","xanax pills <f0><U+009F><U+0092><U+008A> is what needed right now can’t sleep can’t think can’t do shit not feeling comfortable",147,146,3613,2020-05-12 18:53:18
"12","1036778872405020675","teenytiny01755",FALSE,"23 • 5’6”(168cm) • account to vent about my anorexia, ocd, and depression. I am N<U+035F>O<U+035F>T<U+035F>! proana or pro ed thanks xx","genderfluid ","i really want to find a drug dealer who is a girl who lives near me because i don’t like men who deal drugs and i really just simply want xanax and my dr simply will not give it to me",5353,2467,7535,2020-05-12 18:46:19
"13","846407892156792833","JusttKiddiing",FALSE,"yuh","","I legit woke up cuddling my xanax script so if u think u important..... ur not",50,55,481,2020-05-12 18:45:14
"14","846407892156792833","JusttKiddiing",FALSE,"yuh","","I spent 120 dollars on xanax this week but i think it could be worse<f0><U+009F><U+00A4><U+00A3>",50,55,481,2020-05-12 02:50:35
"15","846407892156792833","JusttKiddiing",FALSE,"yuh","","I have xanax munchies &amp; my aunt starts makin me food lol i thot today waz gunna suk",50,55,481,2020-05-10 16:42:36
"16","14979958","stringsn88keys",FALSE,"Manager of Ruby on Rails project team across <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>/<f0><U+009F><U+0087><U+00B5><f0><U+009F><U+0087><U+00B1>. Lifetime Louisvillian born in <f0><U+009F><U+0087><U+00B5><f0><U+009F><U+0087><U+00AD> now living in Pensacola. Bede potrzebowal duzo wiecej kawy. he/him","Pensacola, FL","Is it xanax time yet?",1735,1773,87021,2020-05-12 18:44:17
"17","37605367","Boopah",FALSE,"Bad Form. Great Times.","South Nashville","xanax bar for breakfast",968,473,14044,2020-05-11 13:10:28
"18","37605367","Boopah",FALSE,"Bad Form. Great Times.","South Nashville","@DropoutVision but i been eating xanax drinking henny and popping somas i may be work food soon",968,473,14044,2020-05-12 18:42:03
"19","37605367","Boopah",FALSE,"Bad Form. Great Times.","South Nashville","i heard my step momma stook up for me yesterday while i was lifeless on somas henny and xanax. i love you.",968,473,14044,2020-05-12 18:22:23
"20","272723553","BearwithEugenio",FALSE,"Snap: Bearwitheugenio ~ Iver Wolfe<f0><U+009F><U+0092><U+0099>Crypto Trader <f0><U+009F><U+0094><U+0084><f0><U+009F><U+0093><U+0088>","Orlando, FL","Woke up, it’s 2:41pm I’m a pop my xanax and smoke some weed to start my day.",480,439,31225,2020-05-12 18:41:45
"21","1077937133082488832","dilaarosse",FALSE,"cb sb bb sb <f0><U+009F><U+00A5><U+009B>","danish","Im the type of person who will only sleep around kul 7 am catu or prolly no sleep at all due to my insomnia but like nowadays i consume lots of panadol due some reasons n like im actually enjoying my sleep<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>and woah between my sleeping pills, xanax and panadol, it seems like-",331,219,23703,2020-05-12 18:38:36
"22","1218298284416040962","katyperryaesth1",FALSE,"Katy Perry & Carly Rae Fan Account. I talk everything Perry on my Podcast; Link Down Below","","she has a plan y’all, take your xanax https://t.co/7NK8NgqEaC",289,325,1302,2020-05-12 18:37:40
"23","1094879344432865281","chateaubunni",FALSE,"bunnie crazy girl","los angeles","i was only gonna take part of xanax but instead i’ll take whole xanax",2406,429,6804,2020-05-12 18:34:58
"24","1094879344432865281","chateaubunni",FALSE,"bunnie crazy girl","los angeles","okay whatever i have drama but tske xanax go to bed",2406,429,6804,2020-05-12 01:26:01
"25","851371979005239296","anee_mes",FALSE,"if you can be anything, be caffeinated","","**Gets a text**
""How are ya?""
*Swallowing xanax with whiskey*
'Fuckin great! enjoying life<f0><U+009F><U+00A4><U+0098><f0><U+009F><U+0098><U+0084>'",77,75,449,2020-05-12 18:31:25
"26","1077285767704129536","__needtobethin",FALSE,"waging a war behind my face n above my throat<f0><U+009F><U+00A5><U+0080>","eating disorder vent (!)","@edduets xanax but for some reason i binge every time i take it??? so idk ://",469,551,2062,2020-05-12 18:17:25
