"","user_id","screen_name","verified","description","location","text","followers_count","friends_count","statuses_count","created_at"
"1","940091034783985664","bedhead2001",FALSE,"bedhead; prpr noun, “he who sings the morning song of longing & forgotten daydreams.” - @lilwetwet2001","Seattle, WA","@yung_zoloft sometimes i don’t either but when it comes down to it there wouldn’t be a scene without the ppl that make it up and everytime you make a song or interact with another artist yr only building it up!",1060,67,17397,2020-05-12 18:23:55
"2","407896465","Adam_The_Agent",FALSE,"Khan. Carmichael. Archer. Spector. Chase. Gold. Scott. Halpert.","Uptown, Philly. ","Who tf told me to ween myself off of zoloft during a damn pandemic?? <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BF><U+200D><U+2642><U+FE0F><f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BF><U+200D><U+2642><U+FE0F>",451,982,3318,2020-05-12 18:14:46
"3","1197010497851125760","corpsebleed",FALSE,"leila <f0><U+009F><U+00A7><U+00A1>","","@yung_zoloft how can our eyes be real if mirrors aren’t",24,51,381,2020-05-12 17:51:46
"4","4848315052","IsabelKleckner",FALSE,"","Minneapolis, MN","“breakfast check” in my art class small group today:
1- 75mg zoloft, a piece of untoasted bread, and a blueberry redbull
2- 40mg paroxetine &amp; 3 pieces of cold pizza
3- 60mg prozac, an untoasted grocery store bagel, an iron supplement, &amp; lukewarm coffee",204,636,2874,2020-05-12 17:15:46
"5","2255741253","aaaaaamna",FALSE,"<f0><U+009F><U+0087><U+00B5><f0><U+009F><U+0087><U+00B0>/18/VCU '24
be prepared, all i do is talk
@Aamnasburner","Bristow, VA","oh frick i forgot to take my zoloft",1008,874,36042,2020-05-12 17:06:31
"6","878684990015508485","scarycryptid",FALSE,"<f0><U+009F><U+0092><U+0096>@malletbot<f0><U+009F><U+0092><U+008D><f0><U+009F><U+0094><U+0097>ART: @q_goatman<f0><U+009F><U+0094><U+0097> name: q goatman<f0><U+009F><U+008E><U+00A0>23<f0><U+009F><U+008E><U+00AD>they/he/it<f0><U+009F><U+008E><U+00A0> header and pfp are by david chan","<f0><U+009F><U+00A7><U+0082>lake erie<f0><U+009F><U+00A7><U+0082><f0><U+009F><U+008C><U+009E><U+264E><U+2B06><U+FE0F><U+264E><f0><U+009F><U+008C><U+009C><U+2651>","also i took my zoloft on an empty stomach before leaving so in a little bit my intestines are going to start burning a hole through my flesh and fall onto the floor",25,148,4533,2020-05-12 17:01:00
"7","1075575768321851392","VideosLonewolf",FALSE,"im a up and coming channel on youtube and im looking for subscribers and views i offer a little bit of everything so check me out on youtube at LoneWolf Videos.","RETRO TOWN","@okeebzo mine started running away with me just started zoloft on saturday to try and calm down a bit. hope yours eases up :)",1413,5002,2245,2020-05-12 15:02:44
"8","717150516","yul_ssa",FALSE,"acura integurl // mm <f0><U+009F><U+00A7><U+00A1>","","was typing up a message n tell my why my predictive text kept giving me zoloft every other word.... is my psychiatrist trying to reach out to me rn",1283,264,15937,2020-05-12 14:58:02
"9","782774297982926848","LoveABug",FALSE,"Open for Bug ID // 22 // genderfluid androgyne // Venezuelan American and tired // sometimes I have opinions but mostly I have bugs. I'm @darlingbeetle","them/em/him","the before and after of zoloft everybody https://t.co/8GWgxeEERo",185,426,49645,2020-05-09 00:51:32
"10","782774297982926848","LoveABug",FALSE,"Open for Bug ID // 22 // genderfluid androgyne // Venezuelan American and tired // sometimes I have opinions but mostly I have bugs. I'm @darlingbeetle","them/em/him","I love my job but I forgot to take zoloft yesterday and my hands were shaking like a leaf",185,426,49645,2020-05-12 14:56:22
